2025-07-08 06:08:57 status half-configured libattr1:amd64 1:2.4.48-5
2025-07-08 06:08:57 status installed libattr1:amd64 1:2.4.48-5
2025-07-08 06:08:57 configure debianutils:amd64 4.9.1 <none>
2025-07-08 06:08:57 status unpacked debianutils:amd64 4.9.1
2025-07-08 06:08:57 status half-configured debianutils:amd64 4.9.1
2025-07-08 06:08:57 status installed debianutils:amd64 4.9.1
2025-07-08 06:08:57 configure mawk:amd64 1.3.4.20200120-2 <none>
2025-07-08 06:08:57 status unpacked mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:57 status half-configured mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:57 status installed mawk:amd64 1.3.4.20200120-2
2025-07-08 06:08:57 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2025-07-08 06:08:57 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2025-07-08 06:08:57 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2025-07-08 06:08:57 status installed libdebconfclient0:amd64 0.251ubuntu1
2025-07-08 06:08:57 configure base-files:amd64 11ubuntu5 <none>
2025-07-08 06:08:57 status unpacked base-files:amd64 11ubuntu5
2025-07-08 06:08:57 status half-configured base-files:amd64 11ubuntu5
2025-07-08 06:08:57 status installed base-files:amd64 11ubuntu5
2025-07-08 06:08:57 configure libbz2-1.0:amd64 1.0.8-2 <none>
2025-07-08 06:08:57 status unpacked libbz2-1.0:amd64 1.0.8-2
2025-07-08 06:08:57 status half-configured libbz2-1.0:amd64 1.0.8-2
2025-07-08 06:08:57 status installed libbz2-1.0:amd64 1.0.8-2
2025-07-08 06:08:57 configure base-passwd:amd64 3.5.47 <none>
2025-07-08 06:08:57 status unpacked base-passwd:amd64 3.5.47
2025-07-08 06:08:57 status half-configured base-passwd:amd64 3.5.47
2025-07-08 06:08:57 status installed base-passwd:amd64 3.5.47
